,Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Report Date,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Selling,Research & Development,Interest Expense, Net Pretax Income (Loss),Pretax Income (Loss),Income Tax (Expense) Benefit,Net Income
153,STZ,256994,USD,2021,FY,2022-02-28,2022-04-21,2024-04-23,193519000.0,195308000.0,8820700000.0,-4113400000.0,4707300000.0,-1709700000.0,-1709700000.0,,1005700000.0,-695300000.0,-309400000.0,1000000.0,-40400000.0
154,STZ,256994,USD,2022,FY,2023-02-28,2023-04-20,2024-04-23,169336999.0,169336999.0,9452600000.0,-4683600000.0,4769000000.0,-1926100000.0,-1926100000.0,,407800000.0,-24200000.0,-422100000.0,-38500000.0,-71000000.0
841,SWK,244442,USD,2019,FY,2019-12-31,2020-02-21,2022-02-22,148365000.0,150558000.0,12912900000.0,-8679500000.0,4233400000.0,-2568300000.0,-2542000000.0,,1233700000.0,-139300000.0,-126800000.0,956400000.0,955700000.0
842,SWK,244442,USD,2020,FY,2020-12-31,2021-02-18,2023-02-23,154176000.0,155861000.0,12750000000.0,-8431900000.0,4318100000.0,-2795000000.0,-2554700000.0,,1317900000.0,-134200000.0,-38000000.0,1154800000.0,1131500000.0
843,SWK,244442,USD,2021,FY,2021-12-31,2022-02-22,2024-02-27,159605000.0,165383000.0,15281300000.0,-10189100000.0,5092200000.0,-3382600000.0,-3193100000.0,,1534000000.0,52900000.0,-55100000.0,1550800000.0,1676300000.0
844,SWK,244442,USD,2022,FY,2022-12-31,2023-02-23,2024-02-27,158760000.0,165024000.0,16947400000.0,-12663300000.0,4284100000.0,-3644800000.0,-3355700000.0,,355500000.0,-317600000.0,132400000.0,170300000.0,1057900000.0
845,SWK,244442,USD,2023,FY,2023-12-31,2024-02-27,2024-02-27,149751000.0,149751000.0,15781100000.0,-11848500000.0,3932600000.0,-3610800000.0,-3282000000.0,,-50700000.0,-325000000.0,94000000.0,-281700000.0,-310500000.0
28,SWKS,353611,USD,2019,FY,2019-09-30,2019-11-14,2021-11-24,173500000.0,174500000.0,3376800000.0,-1773000000.0,1603800000.0,-645000000.0,-198300000.0,-22600000.0,967800000.0,-6800000.0,-107400000.0,853600000.0,853600000.0
29,SWKS,353611,USD,2020,FY,2020-09-30,2020-11-17,2022-11-23,168500000.0,169900000.0,3355700000.0,-1742800000.0,1612900000.0,-707300000.0,-231400000.0,-11800000.0,905500000.0,-13800000.0,-76900000.0,814800000.0,814800000.0
30,SWKS,353611,USD,2021,FY,2021-09-30,2021-11-24,2023-11-17,165100000.0,166400000.0,5109100000.0,-2596700000.0,2512400000.0,-890800000.0,-322500000.0,-36000000.0,1607600000.0,-8900000.0,-100400000.0,1498300000.0,1498300000.0
31,SWKS,353611,USD,2022,FY,2022-09-30,2022-11-23,2024-11-15,162400000.0,163300000.0,5485500000.0,-2881200000.0,2604300000.0,-1046600000.0,-329800000.0,-98900000.0,1507300000.0,-30700000.0,-201400000.0,1275200000.0,1275200000.0
32,SWKS,353611,USD,2023,FY,2023-09-30,2023-11-17,2024-11-15,159400000.0,160300000.0,4772400000.0,-2665100000.0,2107300000.0,-954000000.0,-314000000.0,-33200000.0,1107100000.0,-28300000.0,-96000000.0,982800000.0,982800000.0
849,SYK,105030,USD,2019,FY,2019-12-31,2020-02-06,2022-02-11,374000000.0,379900000.0,14884000000.0,-5188000000.0,9696000000.0,-6791000000.0,-5356000000.0,-464000000.0,2754000000.0,-192000000.0,-479000000.0,2083000000.0,2083000000.0
850,SYK,105030,USD,2020,FY,2020-12-31,2021-02-11,2023-02-10,375500000.0,380300000.0,14351000000.0,-5294000000.0,9057000000.0,-6817000000.0,-5361000000.0,-472000000.0,1971000000.0,-17000000.0,-355000000.0,1599000000.0,1599000000.0
851,SYK,105030,USD,2021,FY,2021-12-31,2022-02-11,2024-02-14,377100000.0,382700000.0,17108000000.0,-6140000000.0,10968000000.0,-8281000000.0,-6427000000.0,-619000000.0,2384000000.0,-103000000.0,-287000000.0,1994000000.0,1994000000.0
852,SYK,105030,USD,2022,FY,2022-12-31,2023-02-10,2024-02-14,378200000.0,382200000.0,18449000000.0,-6871000000.0,11578000000.0,-8536000000.0,-6455000000.0,-627000000.0,2884000000.0,-201000000.0,-325000000.0,2358000000.0,2358000000.0
853,SYK,105030,USD,2023,FY,2023-12-31,2024-02-14,2024-02-14,379600000.0,383700000.0,20498000000.0,-7440000000.0,13058000000.0,-9152000000.0,-7129000000.0,-635000000.0,3691000000.0,-18000000.0,-508000000.0,3165000000.0,3165000000.0
854,SYY,247719,USD,2019,FY,2019-06-30,2019-08-26,2019-08-26,516890581.0,523381124.0,60113922000.0,-48704935000.0,11408987000.0,-9078837000.0,,,2005836000.0,,-331565000.0,1674271000.0,1674271000.0
855,SYY,247719,USD,2020,FY,2020-06-30,2020-08-26,2020-08-26,510121071.0,514025974.0,52893310000.0,-42991646000.0,9901664000.0,-9152159000.0,,,293384000.0,,-77909000.0,215475000.0,215475000.0
856,SYY,247719,USD,2021,FY,2021-06-30,2021-08-30,2023-08-25,509567080.0,511740778.0,51297843000.0,-41941094000.0,9356749000.0,-7909561000.0,,,584728000.0,,-60519000.0,524209000.0,524209000.0
857,SYY,247719,USD,2022,FY,2022-06-30,2022-08-26,2024-08-28,510696398.0,513555088.0,68636000000.0,-56316000000.0,12320000000.0,-9974000000.0,,,1747000000.0,,-388000000.0,1359000000.0,1359000000.0
858,SYY,247719,USD,2023,FY,2023-06-30,2023-08-26,2024-08-28,507362913.0,509719756.0,76325000000.0,-62370000000.0,13955000000.0,-10916000000.0,,,2285000000.0,,-515000000.0,1770000000.0,1770000000.0
836,T,66790,USD,2019,FY,2019-12-31,2020-02-20,2022-02-16,7319028983.0,7348029098.0,181193000000.0,-84141000000.0,97052000000.0,-67639000000.0,-39422000000.0,-28217000000.0,19926000000.0,-1458000000.0,-3493000000.0,14975000000.0,13900000000.0
837,T,66790,USD,2020,FY,2020-12-31,2021-02-25,2023-02-13,7157028342.0,7183028445.0,143050000000.0,-65651000000.0,77399000000.0,-53340000000.0,-30817000000.0,-22523000000.0,15333000000.0,-15687000000.0,-1168000000.0,-1522000000.0,-5369000000.0
838,T,66790,USD,2021,FY,2021-12-31,2022-02-16,2024-02-23,7172028401.0,7204028528.0,134038000000.0,-60407000000.0,73631000000.0,-47521000000.0,-29669000000.0,-17852000000.0,29384000000.0,-213000000.0,-5395000000.0,23776000000.0,19874000000.0
839,T,66790,USD,2022,FY,2022-12-31,2023-02-13,2024-02-23,7168000000.0,7199000000.0,120741000000.0,-50848000000.0,69893000000.0,-46982000000.0,-28961000000.0,-18021000000.0,24404000000.0,-27498000000.0,-3780000000.0,-6874000000.0,-8727000000.0
840,T,66790,USD,2023,FY,2023-12-31,2024-02-23,2024-02-23,7181000000.0,7258000000.0,122428000000.0,-50123000000.0,72305000000.0,-47651000000.0,-28874000000.0,-18777000000.0,21041000000.0,-1193000000.0,-4225000000.0,15623000000.0,14192000000.0
224,TAP,248956,USD,2019,FY,2019-12-31,2020-02-12,2022-02-23,216600000.0,216900000.0,10579400000.0,-6378200000.0,4201200000.0,-2728000000.0,-2728000000.0,,1185799999.0,-705900000.0,-233700000.0,246199999.0,241699999.0
225,TAP,248956,USD,2020,FY,2020-12-31,2021-02-11,2023-02-21,216800000.0,216800000.0,9654000000.0,-5885700000.0,3768300000.0,-2692900000.0,-2437000000.0,,810100000.0,-1454000000.0,-301800000.0,-945700000.0,-949000000.0
226,TAP,248956,USD,2021,FY,2021-12-31,2022-02-23,2024-02-20,217200000.0,217600000.0,10279700000.0,-6226300000.0,4053400000.0,-2599000000.0,-2554500000.0,,1192600000.0,46400000.0,-230500000.0,1008500000.0,1005700000.0
227,TAP,248956,USD,2022,FY,2022-12-31,2023-02-21,2024-02-20,216900000.0,216900000.0,10701000000.0,-7045800000.0,3655200000.0,-2657400000.0,-2618800000.0,,745900000.0,-808400000.0,-124000000.0,-186500000.0,-175300000.0
228,TAP,248956,USD,2023,FY,2023-12-31,2024-02-20,2024-02-20,216000000.0,217300000.0,11702100000.0,-7333300000.0,4368800000.0,-2942600000.0,-2779900000.0,,1242300000.0,10200000.0,-296100000.0,956400000.0,948900000.0
1888,TDG,378229,USD,2018,FY,2019-03-31,2018-11-09,2020-11-12,55597000.0,55597000.0,3811000000.0,-1634000000.0,2177000000.0,-522000000.0,-450000000.0,-72000000.0,992000000.0,-6000000.0,-24000000.0,962000000.0,901000000.0
1889,TDG,378229,USD,2019,FY,2019-10-01,2019-11-19,2021-11-16,56265000.0,56265000.0,5223000000.0,-2414000000.0,2809000000.0,-883000000.0,-748000000.0,-135000000.0,1066000000.0,-3000000.0,-222000000.0,841000000.0,779000000.0
1890,TDG,378229,USD,2020,FY,2020-09-30,2020-11-12,2022-11-10,57300000.0,57300000.0,5103000000.0,-2456000000.0,2647000000.0,-896000000.0,-727000000.0,-169000000.0,768000000.0,-28000000.0,-87000000.0,653000000.0,514000000.0
1891,TDG,378229,USD,2021,FY,2021-09-30,2021-11-16,2023-11-09,58400000.0,58400000.0,4798000000.0,-2285000000.0,2513000000.0,-822000000.0,-685000000.0,-137000000.0,683000000.0,32000000.0,-34000000.0,681000000.0,682000000.0
1892,TDG,378229,USD,2022,FY,2022-09-30,2022-11-10,2024-11-07,58200000.0,58200000.0,5429000000.0,-2330000000.0,3099000000.0,-884000000.0,-748000000.0,-136000000.0,1128000000.0,-1000000.0,-261000000.0,866000000.0,866000000.0
1893,TDG,378229,USD,2023,FY,2023-09-30,2023-11-09,2024-11-07,57200000.0,57200000.0,6585000000.0,-2743000000.0,3842000000.0,-919000000.0,-780000000.0,-139000000.0,1772000000.0,-56000000.0,-417000000.0,1299000000.0,1300000000.0
1779,TDY,1164973,USD,2019,FY,2019-12-31,2020-02-24,2022-02-25,36300000.0,37500000.0,3163600000.0,-1920300000.0,1243300000.0,-751600000.0,-715100000.0,-36500000.0,465700000.0,8000000.0,-71400000.0,402300000.0,402300000.0
1780,TDY,1164973,USD,2020,FY,2020-12-31,2021-02-26,2023-02-24,36700000.0,37900000.0,3086200000.0,-1905300000.0,1180900000.0,-700800000.0,-662000000.0,-38800000.0,457600000.0,12100000.0,-67800000.0,401900000.0,401900000.0
1781,TDY,1164973,USD,2021,FY,2021-12-31,2022-02-25,2024-02-23,46655176.0,47700000.0,4614300000.0,-2772900000.0,1841400000.0,-1217100000.0,-1067800000.0,-149300000.0,536000000.0,-2200000.0,-88500000.0,445300000.0,445300000.0
1782,TDY,1164973,USD,2022,FY,2022-12-31,2023-02-24,2024-02-23,46800000.0,47700000.0,5458600000.0,-3128300000.0,2330300000.0,-1358300000.0,-1156600000.0,-201700000.0,886100000.0,22000000.0,-119200000.0,788900000.0,788600000.0
1783,TDY,1164973,USD,2023,FY,2023-12-31,2024-02-23,2024-02-23,47100000.0,47900000.0,5635500000.0,-3196100000.0,2439400000.0,-1405000000.0,-1208300000.0,-196700000.0,944900000.0,14000000.0,-72300000.0,886600000.0,885700000.0
1113,TECH,176917,USD,2019,FY,2019-06-30,2019-08-28,2021-08-25,151124000.0,155568000.0,714006000.0,-240515000.0,473491000.0,-326772000.0,-264359000.0,,112015000.0,,-15943000.0,96072000.0,96072000.0
1114,TECH,176917,USD,2020,FY,2020-06-30,2020-08-26,2022-08-24,152804000.0,157604000.0,738691000.0,-255497000.0,483194000.0,-325775000.0,-260583000.0,,276477000.0,,-47181000.0,229296000.0,229296000.0
1115,TECH,176917,USD,2021,FY,2021-06-30,2021-08-25,2023-08-23,154988000.0,161932000.0,931032000.0,-298182000.0,632850000.0,-395554000.0,-324951000.0,,148175000.0,,-8590000.0,139585000.0,140410000.0
1116,TECH,176917,USD,2022,FY,2022-06-30,2022-08-24,2024-08-22,156876000.0,164116000.0,1105599000.0,-349103000.0,756496000.0,-459906000.0,-372766000.0,,301386000.0,,-38287000.0,263099000.0,272051000.0
1117,TECH,176917,USD,2023,FY,2023-06-30,2023-08-23,2024-08-22,157179000.0,161855000.0,1136702000.0,-366887000.0,769815000.0,-470871000.0,-378378000.0,,338659000.0,,-53217000.0,285442000.0,285263000.0
2057,TEL,104745,USD,2019,FY,2019-09-30,2019-11-12,2021-11-09,338000000.0,340000000.0,13448000000.0,-9054000000.0,4394000000.0,-2134000000.0,-1490000000.0,,2213000000.0,-282000000.0,15000000.0,1946000000.0,1844000000.0
2058,TEL,104745,USD,2020,FY,2020-09-30,2020-11-10,2022-11-15,332000000.0,332000000.0,12172000000.0,-8437000000.0,3735000000.0,-2005000000.0,-1392000000.0,,1717000000.0,-1193000000.0,-783000000.0,-259000000.0,-241000000.0
2059,TEL,104745,USD,2021,FY,2021-09-30,2021-11-09,2023-11-13,330000000.0,333000000.0,14923000000.0,-10036000000.0,4887000000.0,-2189000000.0,-1512000000.0,,2642000000.0,-264000000.0,-123000000.0,2255000000.0,2261000000.0
2060,TEL,104745,USD,2022,FY,2022-09-30,2022-11-15,2024-11-12,323000000.0,325000000.0,16281000000.0,-11037000000.0,5244000000.0,-2302000000.0,-1584000000.0,,2919000000.0,-186000000.0,-306000000.0,2427000000.0,2428000000.0
2061,TEL,104745,USD,2023,FY,2023-09-30,2023-11-13,2024-11-12,315000000.0,317000000.0,16034000000.0,-10979000000.0,5055000000.0,-2378000000.0,-1670000000.0,,2641000000.0,-373000000.0,-364000000.0,1904000000.0,1910000000.0
864,TER,1094921,USD,2019,FY,2019-12-31,2020-03-02,2022-02-23,170425000.0,179459000.0,2294965000.0,-955136000.0,1339829000.0,-800055000.0,-437084000.0,-40147000.0,511892000.0,13880000.0,-58304000.0,467468000.0,467468000.0
865,TER,1094921,USD,2020,FY,2020-12-31,2021-02-22,2023-02-22,166120000.0,183042000.0,3121469000.0,-1335728000.0,1785741000.0,-870536000.0,-464769000.0,-30803000.0,887813000.0,13202000.0,-116868000.0,784147000.0,784147000.0
866,TER,1094921,USD,2021,FY,2021-12-31,2022-02-23,2024-02-22,162769000.0,178020000.0,3702881000.0,-1496225000.0,2206656000.0,-996624000.0,-547559000.0,-21456000.0,1170267000.0,-9312000.0,-146366000.0,1014589000.0,1014589000.0
867,TER,1094921,USD,2022,FY,2022-12-31,2023-02-22,2024-02-22,158434000.0,169734000.0,3155045000.0,-1287894000.0,1867151000.0,-1018027000.0,-558103000.0,-19333000.0,857570000.0,-17185000.0,-124884000.0,715501000.0,715501000.0
868,TER,1094921,USD,2023,FY,2023-12-31,2024-02-22,2024-02-22,154310000.0,164304000.0,2676298000.0,-1139550000.0,1536748000.0,-1014403000.0,-577315000.0,-18999000.0,546849000.0,-21277000.0,-76820000.0,448752000.0,448752000.0
859,TFX,448874,USD,2019,FY,2019-12-31,2020-02-21,2022-03-01,46200000.0,47090000.0,2595362000.0,-1186357000.0,1409005000.0,-965623000.0,-851766000.0,,364853000.0,-24950000.0,122078000.0,461981000.0,461466000.0
860,TFX,448874,USD,2020,FY,2020-12-31,2021-02-25,2023-02-23,46488000.0,47287000.0,2537156000.0,-1212282000.0,1324874000.0,-863315000.0,-743568000.0,,396223000.0,-38491000.0,-21931000.0,335801000.0,335324000.0
861,TFX,448874,USD,2021,FY,2021-12-31,2022-03-01,2024-02-23,46810000.0,47452000.0,2809563000.0,-1259961000.0,1549602000.0,-990926000.0,-860085000.0,,503035000.0,56433000.0,-74349000.0,485119000.0,485374000.0
862,TFX,448874,USD,2022,FY,2022-12-31,2023-02-23,2024-02-23,46898000.0,47309000.0,2791041000.0,-1259954000.0,1531087000.0,-1017567000.0,-863748000.0,,460168000.0,-14249000.0,-83003000.0,362916000.0,363139000.0
863,TFX,448874,USD,2023,FY,2023-12-31,2024-02-23,2024-02-23,46981000.0,47304000.0,2974489000.0,-1327558000.0,1646931000.0,-1084218000.0,-929867000.0,,490412000.0,-56400000.0,-76440000.0,357572000.0,356328000.0
244,TGT,72458,USD,2019,FY,2020-01-31,2020-03-11,2022-03-09,510900000.0,515600000.0,78112000000.0,-54864000000.0,23248000000.0,-18590000000.0,-16233000000.0,-2357000000.0,4190000000.0,,-921000000.0,3269000000.0,3281000000.0
245,TGT,72458,USD,2020,FY,2021-01-31,2021-03-10,2023-03-08,500600000.0,505400000.0,93561000000.0,-66177000000.0,27384000000.0,-20845000000.0,-18615000000.0,-2230000000.0,5546000000.0,,-1178000000.0,4368000000.0,4368000000.0
246,TGT,72458,USD,2021,FY,2022-01-31,2022-03-09,2024-03-13,488100000.0,492700000.0,106005000000.0,-74963000000.0,31042000000.0,-22096000000.0,-19752000000.0,-2344000000.0,8907000000.0,,-1961000000.0,6946000000.0,6946000000.0
247,TGT,72458,USD,2022,FY,2023-01-31,2023-03-08,2024-03-13,462100000.0,464700000.0,109120000000.0,-82229000000.0,26891000000.0,-23043000000.0,-20658000000.0,-2385000000.0,3418000000.0,,-638000000.0,2780000000.0,2780000000.0
248,TGT,72458,USD,2023,FY,2024-01-31,2024-03-13,2024-03-13,461500000.0,462800000.0,107412000000.0,-77736000000.0,29676000000.0,-23969000000.0,-21554000000.0,-2415000000.0,5297000000.0,,-1159000000.0,4138000000.0,4138000000.0
986,TJX,256569,USD,2019,FY,2020-01-31,2020-03-27,2022-03-30,1208163000.0,1226519000.0,41716977000.0,-29845780000.0,11871197000.0,-7454988000.0,-7454988000.0,,4406183000.0,,-1133990000.0,3272193000.0,3272193000.0
987,TJX,256569,USD,2020,FY,2021-01-31,2021-03-31,2023-03-29,1199927000.0,1214703000.0,32137000000.0,-24534000000.0,7603000000.0,-7021000000.0,-7021000000.0,,401000000.0,-312000000.0,1000000.0,90000000.0,90000000.0
988,TJX,256569,USD,2021,FY,2022-01-31,2022-03-30,2024-04-03,1204698124.0,1214703000.0,48550000000.0,-34714000000.0,13836000000.0,-9081000000.0,-9081000000.0,,4640000000.0,-242000000.0,-1115000000.0,3283000000.0,3283000000.0
989,TJX,256569,USD,2022,FY,2023-01-31,2023-03-29,2024-04-03,1181188731.0,1215591000.0,49936000000.0,-36149000000.0,13787000000.0,-8927000000.0,-8927000000.0,,4854000000.0,-218000000.0,-1138000000.0,3498000000.0,3498000000.0
990,TJX,256569,USD,2023,FY,2024-01-31,2024-04-03,2024-04-03,1146000000.0,1159000000.0,54217000000.0,-37951000000.0,16266000000.0,-10469000000.0,-10469000000.0,,5967000000.0,,-1493000000.0,4474000000.0,4474000000.0
879,TMO,372802,USD,2019,FY,2019-12-31,2020-02-26,2022-02-24,400000000.0,403000000.0,25542000000.0,-14214000000.0,11328000000.0,-7147000000.0,-6144000000.0,,3659000000.0,413000000.0,-374000000.0,3698000000.0,3696000000.0
880,TMO,372802,USD,2020,FY,2020-12-31,2021-02-25,2023-02-23,396000000.0,399000000.0,32218000000.0,-16214000000.0,16004000000.0,-8111000000.0,-6930000000.0,,7326000000.0,-99000000.0,-850000000.0,6377000000.0,6375000000.0
881,TMO,372802,USD,2021,FY,2021-12-31,2022-02-24,2024-02-22,394000000.0,398000000.0,39211000000.0,-19573000000.0,19638000000.0,-9413000000.0,-8007000000.0,,9038000000.0,-197000000.0,-1109000000.0,7728000000.0,7725000000.0
882,TMO,372802,USD,2022,FY,2022-12-31,2023-02-23,2024-02-22,392000000.0,394000000.0,44915000000.0,-25944000000.0,18971000000.0,-10464000000.0,-8993000000.0,,7949000000.0,-114000000.0,-703000000.0,6960000000.0,6950000000.0
883,TMO,372802,USD,2023,FY,2023-12-31,2024-02-22,2024-02-22,386000000.0,388000000.0,42857000000.0,-25757000000.0,17100000000.0,-9782000000.0,-8445000000.0,,6757000000.0,-459000000.0,-284000000.0,5955000000.0,5995000000.0
1143,TMUS,515267,USD,2019,FY,2019-12-31,2020-02-06,2022-02-11,854143751.0,863433511.0,44998000000.0,-18521000000.0,26477000000.0,-20755000000.0,-14139000000.0,-6616000000.0,4603000000.0,,-1135000000.0,3468000000.0,3468000000.0
1144,TMUS,515267,USD,2020,FY,2020-12-31,2021-02-23,2023-02-14,1144206326.0,1154749428.0,68397000000.0,-28266000000.0,40131000000.0,-33077000000.0,-18926000000.0,-14151000000.0,3948000000.0,-418000000.0,-786000000.0,2744000000.0,3064000000.0
1145,TMUS,515267,USD,2021,FY,2021-12-31,2022-02-11,2024-02-02,1249272296.0,1254289170.0,80118000000.0,-36605000000.0,43513000000.0,-36621000000.0,-20238000000.0,-16383000000.0,3351000000.0,,-327000000.0,3024000000.0,3024000000.0
1146,TMUS,515267,USD,2022,FY,2022-12-31,2023-02-14,2024-02-02,1249763934.0,1255376769.0,79571000000.0,-36206000000.0,43365000000.0,-35258000000.0,-21607000000.0,-13651000000.0,4710000000.0,-1564000000.0,-556000000.0,2590000000.0,2590000000.0
1147,TMUS,515267,USD,2023,FY,2023-12-31,2024-02-02,2024-02-02,1185121562.0,1200286264.0,78558000000.0,-30188000000.0,48370000000.0,-34129000000.0,-21311000000.0,-12818000000.0,10974000000.0,25000000.0,-2682000000.0,8317000000.0,8317000000.0
1829,TPR,331230,USD,2019,FY,2019-06-30,2019-08-15,2021-08-19,289400000.0,290800000.0,6027100000.0,-1973400000.0,4053700000.0,-3234000000.0,-3234000000.0,,766200000.0,,-122800000.0,643400000.0,643400000.0
1830,TPR,331230,USD,2020,FY,2020-06-30,2020-08-13,2022-08-18,278600000.0,278600000.0,4961400000.0,-1722100000.0,3239300000.0,-3312400000.0,-3312400000.0,,-146500000.0,-477700000.0,-27900000.0,-652100000.0,-652100000.0
1831,TPR,331230,USD,2021,FY,2021-06-30,2021-08-19,2023-08-17,277900000.0,283000000.0,5746300000.0,-1664400000.0,4081900000.0,-3113900000.0,-3113900000.0,,897300000.0,,-63100000.0,834200000.0,834200000.0
1832,TPR,331230,USD,2022,FY,2022-06-30,2022-08-18,2024-08-15,264300000.0,270100000.0,6684500000.0,-2034100000.0,4650400000.0,-3474600000.0,-3474600000.0,,1100700000.0,-53700000.0,-190700000.0,856300000.0,856300000.0
1833,TPR,331230,USD,2023,FY,2023-06-30,2023-08-17,2024-08-15,236400000.0,241300000.0,6660900000.0,-1946000000.0,4714900000.0,-3542500000.0,-3542500000.0,,1143100000.0,,-207100000.0,936000000.0,936000000.0
2126,TRGP,625570,USD,2019,FY,2019-12-31,2020-02-20,2022-02-24,232500000.0,232500000.0,8671100000.0,-6208000000.0,2463100000.0,-2044900000.0,-280700000.0,-971600000.0,119400000.0,-166100000.0,87900000.0,41200000.0,-334000000.0
2127,TRGP,625570,USD,2020,FY,2020-12-31,2021-02-18,2023-02-22,232200000.0,232200000.0,8260300000.0,-5186500000.0,3073800000.0,-1934700000.0,,,824100000.0,-2397200000.0,248100000.0,-1325000000.0,-1684800000.0
2128,TRGP,625570,USD,2021,FY,2021-12-31,2022-02-24,2024-02-15,228800000.0,276400000.0,16949800000.0,-13729500000.0,3220300000.0,-1903200000.0,,,905800000.0,-468900000.0,-14800000.0,422100000.0,-16100000.0
2129,TRGP,625570,USD,2022,FY,2022-12-31,2023-02-22,2024-02-15,227300000.0,231100000.0,20929800000.0,-16882100000.0,4047700000.0,-2318700000.0,,,1276900000.0,386300000.0,-131800000.0,1531400000.0,896800000.0
2130,TRGP,625570,USD,2023,FY,2023-12-31,2024-02-15,2024-02-15,224600000.0,226000000.0,16060300000.0,-10676400000.0,5383900000.0,-2757700000.0,,,1944600000.0,-2100000.0,-363200000.0,1579300000.0,835800000.0
1200,TRMB,627855,USD,2019,FY,2019-12-31,2020-02-28,2022-02-23,250800000.0,252900000.0,3264300000.0,-1483400000.0,1780900000.0,-1378200000.0,-834800000.0,-73700000.0,371600000.0,-26800000.0,169700000.0,514500000.0,514300000.0
1201,TRMB,627855,USD,2020,FY,2020-12-31,2021-02-26,2023-02-17,250500000.0,252300000.0,3147700000.0,-1392800000.0,1754900000.0,-1309300000.0,-767900000.0,-65500000.0,407700000.0,-12700000.0,-4400000.0,390600000.0,389900000.0
1202,TRMB,627855,USD,2021,FY,2021-12-31,2022-02-23,2024-02-26,251200000.0,254100000.0,3659100000.0,-1624400000.0,2034700000.0,-1463400000.0,-875900000.0,-50900000.0,543500000.0,31100000.0,-81800000.0,492800000.0,492700000.0
1203,TRMB,627855,USD,2022,FY,2022-12-31,2023-02-17,2024-02-26,248600000.0,250200000.0,3676300000.0,-1570700000.0,2105600000.0,-1564500000.0,-975800000.0,-46600000.0,500300000.0,68800000.0,-119400000.0,449700000.0,449700000.0
1204,TRMB,627855,USD,2023,FY,2023-12-31,2024-02-26,2024-02-26,247900000.0,249100000.0,3798700000.0,-1465900000.0,2332800000.0,-1838400000.0,-1070500000.0,-103600000.0,393400000.0,-36400000.0,-45700000.0,311300000.0,311300000.0
996,TROW,378221,USD,2019,FY,2019-12-31,2020-02-13,2022-02-24,235400000.0,238600000.0,5617900000.0,,,-3230900000.0,-418700000.0,,2927299999.0,,-678400000.0,2248899999.0,2131299999.0
997,TROW,378221,USD,2020,FY,2020-12-31,2021-02-11,2023-02-15,228800000.0,231200000.0,6206700000.0,,,-3461000000.0,-399800000.0,,2745700000.0,496500000.0,-718900000.0,2523300000.0,2372700000.0
998,TROW,378221,USD,2021,FY,2021-12-31,2022-02-24,2024-02-16,224900000.0,226900000.0,7671900000.0,,,-3961900000.0,-857700000.0,,3710000000.0,284600000.0,-896100000.0,3098500000.0,3082900000.0
999,TROW,378221,USD,2022,FY,2022-12-31,2023-02-15,2024-02-16,226600000.0,228800000.0,6488400000.0,,,-3992400000.0,-811000000.0,,2496000000.0,-547800000.0,-498600000.0,1449600000.0,1557900000.0
1000,TROW,378221,USD,2023,FY,2023-12-31,2024-02-16,2024-02-16,224100000.0,224800000.0,6460500000.0,,,-4422500000.0,-825400000.0,,2038000000.0,452300000.0,-654600000.0,1835700000.0,1788700000.0
1426,TSCO,378228,USD,2019,FY,2019-12-31,2020-02-20,2022-02-17,598635000.0,603715000.0,8351931000.0,-5480161000.0,2871770000.0,-2128550000.0,-1932572000.0,-195978000.0,723377000.0,,-161023000.0,562354000.0,562354000.0
1427,TSCO,378228,USD,2020,FY,2020-12-31,2021-02-18,2023-02-23,581850000.0,587180000.0,10620352000.0,-6858803000.0,3761549000.0,-2695648000.0,-2478524000.0,-217124000.0,1037120000.0,-68973000.0,-219189000.0,748958000.0,748958000.0
1428,TSCO,378228,USD,2021,FY,2021-12-31,2022-02-17,2024-02-23,568340000.0,573935000.0,12731105000.0,-8253952000.0,4477153000.0,-3170455000.0,-2900297000.0,-270158000.0,1280088000.0,,-282974000.0,997114000.0,997114000.0
1429,TSCO,378228,USD,2022,FY,2022-12-31,2023-02-23,2024-02-23,556680000.0,560745000.0,14204717000.0,-9232513000.0,4972204000.0,-3537261000.0,-3194199000.0,-343062000.0,1404310000.0,,-315598000.0,1088712000.0,1088712000.0
1430,TSCO,378228,USD,2023,FY,2023-12-31,2024-02-23,2024-02-23,545480000.0,548730000.0,14555741000.0,-9327522000.0,5228219000.0,-3749307000.0,-3356258000.0,-393049000.0,1432402000.0,,-325176000.0,1107226000.0,1107226000.0
2121,TSLA,56317,USD,2019,FY,2019-12-31,2020-02-13,2022-02-07,2655000000.0,2655000000.0,24578000000.0,-20509000000.0,4069000000.0,-3989000000.0,-2646000000.0,,-516000000.0,-149000000.0,-110000000.0,-775000000.0,-862000000.0
2122,TSLA,56317,USD,2020,FY,2020-12-31,2021-02-08,2023-01-31,2799000000.0,3249000000.0,31536000000.0,-24906000000.0,6630000000.0,-4636000000.0,-3145000000.0,,1154000000.0,,-292000000.0,862000000.0,721000000.0
2123,TSLA,56317,USD,2021,FY,2021-12-31,2022-02-07,2024-01-29,2994000000.0,3369000000.0,53823000000.0,-40217000000.0,13606000000.0,-7110000000.0,-4517000000.0,,6316000000.0,27000000.0,-699000000.0,5644000000.0,5519000000.0
